name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-3640,NO,22.7,10.3,12.3,1.191,0.3,5.4e-01,1.0e+00,0.952,2561,13,12,6,15,14,8
GENE-2460,NO,559,298.7,260.3,0.872,-0.2,5.4e-01,1.0e+00,0.952,2562,289,238,369,201,200,380
GENE-15076,NO,37.7,17.7,20,1.131,0.2,5.4e-01,1.0e+00,0.9522,2563,17,17,19,27,16,17
GENE-15174,NO,17.3,9.7,7.7,0.796,-0.3,5.4e-01,1.0e+00,0.9522,2564,14,4,11,5,7,11
GENE-5902,NO,492.3,229.7,262.7,1.143,0.2,5.4e-01,1.0e+00,0.9522,2565,140,269,280,329,226,233
GENE-19533,NO,40.7,19.3,21.3,1.102,0.1,5.4e-01,1.0e+00,0.9522,2566,21,18,19,20,25,19
GENE-13499,NO,79.3,36,43.3,1.204,0.3,5.4e-01,1.0e+00,0.9522,2567,28,59,21,37,36,57
GENE-7937,NO,52.7,28,24.7,0.881,-0.2,5.4e-01,1.0e+00,0.9522,2568,19,33,32,22,30,22
GENE-10147,NO,221.7,107.3,114.3,1.068,0.1,5.4e-01,1.0e+00,0.9522,2569,99,113,110,116,106,121
GENE-8458,NO,1089.7,519,570.7,1.1,0.1,5.4e-01,1.0e+00,0.9522,2570,448,462,647,463,588,661
GENE-18302,NO,2194.3,1031,1163.3,1.128,0.2,5.4e-01,1.0e+00,0.9522,2571,1071,953,1069,1606,749,1135
GENE-17239,NO,34,19.3,14.7,0.759,-0.4,5.4e-01,1.0e+00,0.9522,2572,9,23,26,4,23,17
GENE-13321,NO,133.7,63.3,70.3,1.11,0.2,5.4e-01,1.0e+00,0.9522,2573,82,60,48,71,78,62
GENE-7770,NO,378.3,182.7,195.7,1.073,0.1,5.4e-01,1.0e+00,0.9522,2574,176,197,175,215,166,206
GENE-16503,NO,230,121.3,108.7,0.898,-0.2,5.4e-01,1.0e+00,0.9522,2575,139,83,142,114,118,94
GENE-8515,NO,2306.3,1184.7,1121.7,0.947,-0.1,5.4e-01,1.0e+00,0.9522,2576,1226,1124,1204,1121,1093,1151
GENE-5994,NO,17471.7,8472,8999.7,1.062,0.1,5.4e-01,1.0e+00,0.9522,2577,8235,9080,8101,10154,8236,8609
GENE-3533,NO,172,82.7,89.3,1.084,0.1,5.4e-01,1.0e+00,0.9522,2578,69,98,81,88,94,86
GENE-17378,NO,374.3,195.7,178.7,0.915,-0.1,5.4e-01,1.0e+00,0.9522,2579,155,211,221,208,152,176
GENE-6536,NO,110,59,51,0.863,-0.2,5.4e-01,1.0e+00,0.9522,2579,57,59,61,36,80,37
GENE-15342,NO,1986.7,1196,790.7,0.661,-0.6,5.4e-01,1.0e+00,0.9522,2580,176,1055,2357,572,267,1533
GENE-9992,NO,32.3,17.3,15,0.867,-0.2,5.4e-01,1.0e+00,0.9522,2581,20,20,12,20,13,12
GENE-5397,NO,96.3,45,51.3,1.141,0.2,5.4e-01,1.0e+00,0.9522,2582,53,35,47,72,40,42
GENE-1896,NO,2777.7,1322.7,1455,1.1,0.1,5.4e-01,1.0e+00,0.9522,2583,970,1358,1640,1601,1463,1301
GENE-10945,NO,1719,885,834,0.943,-0.1,5.4e-01,1.0e+00,0.9522,2584,859,938,858,895,768,839
GENE-4400,NO,2420.7,1135.7,1285,1.132,0.2,5.4e-01,1.0e+00,0.9522,2585,856,1240,1311,951,1128,1776
GENE-8673,NO,2316.3,1196,1120.3,0.937,-0.1,5.4e-01,1.0e+00,0.9522,2586,1123,1382,1083,1061,1136,1164
GENE-3724,NO,110.3,52,58.3,1.122,0.2,5.4e-01,1.0e+00,0.9522,2587,66,55,35,51,64,60
GENE-10181,NO,40.3,16,24.3,1.512,0.6,5.4e-01,1.0e+00,0.9522,2588,8,6,34,23,47,3
GENE-2077,NO,22.3,12.3,10,0.813,-0.3,5.4e-01,1.0e+00,0.9522,2589,6,14,17,10,6,14
GENE-3477,NO,117.7,66.3,51.3,0.774,-0.4,5.4e-01,1.0e+00,0.9522,2590,51,110,38,82,53,19
GENE-14627,NO,3118.7,1615,1503.7,0.931,-0.1,5.4e-01,1.0e+00,0.9522,2591,1505,1779,1561,1281,1742,1488
GENE-16414,NO,108,49,59,1.208,0.3,5.4e-01,1.0e+00,0.9522,2592,43,43,61,31,99,47
GENE-2762,YES,177.3,81,96.3,1.191,0.3,5.4e-01,1.0e+00,0.9522,2593,43,72,128,74,117,98
GENE-9209,NO,204.7,97,107.7,1.113,0.2,5.4e-01,1.0e+00,0.9522,2594,72,121,98,122,115,86
GENE-10301,NO,400.7,192.3,208.3,1.084,0.1,5.5e-01,1.0e+00,0.9522,2595,195,202,180,228,162,235
GENE-1604,NO,552,284,268,0.943,-0.1,5.5e-01,1.0e+00,0.9522,2596,265,293,294,284,264,256
GENE-3727,NO,1085.7,518,567.7,1.096,0.1,5.5e-01,1.0e+00,0.9522,2597,544,525,485,534,732,437
GENE-17299,NO,1448.3,767,681.3,0.888,-0.2,5.5e-01,1.0e+00,0.9522,2598,921,688,692,815,435,794
GENE-16192,NO,3306,1746.7,1559.3,0.893,-0.2,5.5e-01,1.0e+00,0.9522,2599,1264,1691,2285,1609,1215,1854
GENE-14180,NO,140.3,67,73.3,1.094,0.1,5.5e-01,1.0e+00,0.9522,2599,79,64,58,67,88,65
GENE-3009,NO,351.3,183,168.3,0.921,-0.1,5.5e-01,1.0e+00,0.9522,2600,143,205,201,156,164,185
GENE-5881,NO,600.3,288.7,311.7,1.079,0.1,5.5e-01,1.0e+00,0.9522,2601,252,334,280,329,267,339
GENE-1498,NO,111,60.3,50.7,0.841,-0.2,5.5e-01,1.0e+00,0.9522,2602,58,89,34,58,33,61
GENE-16638,NO,1935.7,869,1066.7,1.228,0.3,5.5e-01,1.0e+00,0.9522,2603,795,700,1112,1599,405,1196
GENE-10400,NO,345.3,181.7,163.7,0.904,-0.1,5.5e-01,1.0e+00,0.9522,2604,158,210,177,191,184,116
GENE-19994,NO,36.3,19,17.3,0.913,-0.1,5.5e-01,1.0e+00,0.9522,2605,19,20,18,19,16,17
GENE-5254,NO,34.3,18.7,15.7,0.84,-0.3,5.5e-01,1.0e+00,0.9522,2606,23,12,21,9,16,22
GENE-8683,NO,1144.7,604.3,540.3,0.894,-0.2,5.5e-01,1.0e+00,0.9522,2607,434,771,608,674,474,473
GENE-12496,NO,8018.3,3905.3,4113,1.053,0.1,5.5e-01,1.0e+00,0.9522,2608,3891,3852,3973,4383,3979,3977
GENE-6178,NO,234.7,113,121.7,1.077,0.1,5.5e-01,1.0e+00,0.9522,2609,102,123,114,107,118,140
GENE-12362,NO,120,62.7,57.3,0.915,-0.1,5.5e-01,1.0e+00,0.9522,2610,53,65,70,52,52,68
GENE-5146,NO,2250.3,1080.3,1170,1.083,0.1,5.5e-01,1.0e+00,0.9522,2611,1078,1166,997,1026,1455,1029
GENE-19991,NO,134,63.7,70.3,1.105,0.1,5.5e-01,1.0e+00,0.9522,2612,48,78,65,72,61,78
GENE-3607,NO,20.3,11.3,9,0.795,-0.3,5.5e-01,1.0e+00,0.9522,2613,7,13,14,7,16,4
GENE-6547,NO,501.7,259.3,242.3,0.935,-0.1,5.5e-01,1.0e+00,0.9522,2614,285,263,230,271,231,225
GENE-18163,NO,194.3,93.7,100.7,1.078,0.1,5.5e-01,1.0e+00,0.9522,2615,93,86,102,107,110,85
GENE-394,NO,146.3,70,76.3,1.09,0.1,5.5e-01,1.0e+00,0.9522,2616,57,81,72,66,82,81
GENE-3813,NO,401.3,195,206.3,1.058,0.1,5.5e-01,1.0e+00,0.9522,2617,184,205,196,205,203,211
GENE-1781,NO,4424,2351.3,2072.7,0.882,-0.2,5.5e-01,1.0e+00,0.9522,2618,2541,2445,2068,2783,1231,2204
GENE-14546,NO,579,317.3,261.7,0.826,-0.3,5.5e-01,1.0e+00,0.9522,2619,176,448,328,159,219,407
GENE-4494,NO,5818.7,3002,2816.7,0.938,-0.1,5.5e-01,1.0e+00,0.9522,2619,3232,2728,3046,2624,3213,2613
GENE-6315,NO,128,61.3,66.7,1.087,0.1,5.5e-01,1.0e+00,0.9522,2620,67,63,54,77,56,67
GENE-15718,NO,114,53.3,60.7,1.136,0.2,5.5e-01,1.0e+00,0.9522,2621,35,52,73,72,57,53
GENE-10407,NO,99,46,53,1.153,0.2,5.5e-01,1.0e+00,0.9522,2622,61,51,26,63,45,51
GENE-1303,NO,113.7,54.7,59,1.079,0.1,5.5e-01,1.0e+00,0.9522,2623,63,51,50,63,58,56
GENE-19552,NO,2423,1305.3,1117.7,0.856,-0.2,5.5e-01,1.0e+00,0.9522,2624,1301,1743,872,1282,1424,647
GENE-16285,NO,75.3,40.3,35,0.867,-0.2,5.5e-01,1.0e+00,0.9522,2625,34,32,55,23,45,37
GENE-13496,NO,74.3,40,34.3,0.859,-0.2,5.5e-01,1.0e+00,0.9522,2626,30,38,52,39,20,44
GENE-13488,NO,68.3,31.3,37,1.179,0.2,5.5e-01,1.0e+00,0.9522,2627,18,25,51,37,39,35
GENE-9061,NO,4481.3,2323.3,2158,0.929,-0.1,5.5e-01,1.0e+00,0.9522,2628,2135,2375,2460,2598,2080,1796
GENE-2605,NO,79,37.7,41.3,1.097,0.1,5.5e-01,1.0e+00,0.9522,2629,40,31,42,47,35,42
GENE-14423,NO,46.3,21,25.3,1.205,0.3,5.5e-01,1.0e+00,0.9522,2630,10,30,23,35,19,22
GENE-5719,NO,1009.7,522.3,487.3,0.933,-0.1,5.5e-01,1.0e+00,0.9522,2631,591,498,478,549,481,432
GENE-14957,NO,179.7,94,85.7,0.912,-0.1,5.5e-01,1.0e+00,0.9522,2632,88,93,101,95,63,99
GENE-15132,NO,144.7,69,75.7,1.095,0.1,5.5e-01,1.0e+00,0.9522,2633,55,69,83,75,86,66
GENE-17920,NO,62,32.7,29.3,0.898,-0.2,5.5e-01,1.0e+00,0.9522,2634,29,43,26,27,29,32
GENE-10500,NO,299.3,144.3,155,1.076,0.1,5.5e-01,1.0e+00,0.9522,2635,143,164,126,173,156,136
GENE-6261,NO,41.3,22.3,19,0.851,-0.2,5.5e-01,1.0e+00,0.9522,2636,22,12,33,18,22,17
GENE-5493,NO,726.7,346,380.7,1.099,0.1,5.5e-01,1.0e+00,0.9522,2637,271,398,369,293,436,413
GENE-10543,NO,88,41.7,46.3,1.112,0.2,5.5e-01,1.0e+00,0.9522,2638,42,53,30,41,49,49
GENE-4634,NO,94.7,45.3,49.3,1.088,0.1,5.5e-01,1.0e+00,0.9522,2639,51,42,43,53,41,54
GENE-2213,NO,145.7,76.7,69,0.899,-0.2,5.5e-01,1.0e+00,0.9522,2639,54,76,100,64,72,71
GENE-9085,NO,238.7,115.3,123.3,1.072,0.1,5.5e-01,1.0e+00,0.9522,2640,134,104,108,122,131,117
GENE-3938,NO,180.7,93.3,87.3,0.936,-0.1,5.5e-01,1.0e+00,0.9522,2641,85,103,92,92,85,85
GENE-13894,NO,3559,1941.7,1617.3,0.833,-0.3,5.5e-01,1.0e+00,0.9522,2642,2050,1990,1785,2561,679,1612
GENE-8559,NO,3823.3,1846.7,1976.7,1.07,0.1,5.5e-01,1.0e+00,0.9522,2643,1927,2088,1525,2112,1909,1909
GENE-16141,NO,2808.3,1364,1444.3,1.059,0.1,5.5e-01,1.0e+00,0.9522,2644,1393,1235,1464,1383,1535,1415
GENE-11347,NO,44,23,21,0.913,-0.1,5.5e-01,1.0e+00,0.9522,2645,25,22,22,21,24,18
GENE-1765,NO,218.3,105.7,112.7,1.07,0.1,5.6e-01,1.0e+00,0.9522,2646,117,104,96,111,104,123
GENE-18648,NO,35,19.7,15.3,0.781,-0.4,5.6e-01,1.0e+00,0.9522,2647,7,23,29,24,8,14
GENE-242,NO,773,372.3,400.7,1.076,0.1,5.6e-01,1.0e+00,0.9522,2648,345,384,388,348,484,370
GENE-16522,NO,26,14,12,0.858,-0.2,5.6e-01,1.0e+00,0.9522,2649,13,20,9,11,15,10
GENE-1603,NO,124,64.7,59.3,0.917,-0.1,5.6e-01,1.0e+00,0.9522,2650,70,66,58,55,73,50
GENE-4286,NO,30.7,14.3,16.3,1.137,0.2,5.6e-01,1.0e+00,0.9522,2651,10,15,18,14,20,15
GENE-5766,NO,58.7,28,30.7,1.094,0.1,5.6e-01,1.0e+00,0.9522,2652,25,26,33,33,32,27
GENE-19320,NO,198.7,96.3,102.3,1.065,0.1,5.6e-01,1.0e+00,0.9522,2653,92,98,99,106,108,93
GENE-11667,NO,161.3,75,86.3,1.151,0.2,5.6e-01,1.0e+00,0.9522,2654,76,53,96,124,67,68
GENE-8532,NO,7499.3,3902.3,3597,0.922,-0.1,5.6e-01,1.0e+00,0.9522,2655,4428,3094,4185,2986,3880,3925
GENE-14251,NO,3460.3,1886,1574.3,0.835,-0.3,5.6e-01,1.0e+00,0.9522,2656,1236,1362,3060,1313,1119,2291
GENE-6393,NO,39,20.7,18.3,0.888,-0.2,5.6e-01,1.0e+00,0.9522,2657,15,27,20,17,17,21
GENE-767,NO,84.3,43.7,40.7,0.931,-0.1,5.6e-01,1.0e+00,0.9522,2658,46,41,44,42,39,41
GENE-14761,NO,557.3,290,267.3,0.92,-0.1,5.6e-01,1.0e+00,0.9522,2659,252,264,354,315,243,244
GENE-16196,NO,758.7,367.7,391,1.063,0.1,5.6e-01,1.0e+00,0.9522,2659,361,328,414,404,378,391
GENE-15310,NO,1011.7,533.3,478.3,0.896,-0.2,5.6e-01,1.0e+00,0.9522,2660,426,748,426,449,551,435
GENE-2587,NO,758,361.3,396.7,1.098,0.1,5.6e-01,1.0e+00,0.9522,2661,391,419,274,325,472,393
GENE-14182,NO,201,105.3,95.7,0.909,-0.1,5.6e-01,1.0e+00,0.9522,2662,129,101,86,117,91,79
GENE-3018,NO,38,20.7,17.3,0.839,-0.3,5.6e-01,1.0e+00,0.9522,2663,22,25,15,23,21,8
GENE-1709,NO,679.3,274.7,404.7,1.473,0.6,5.6e-01,1.0e+00,0.9522,2664,117,74,633,390,118,706
GENE-16206,NO,20.7,9.7,11,1.136,0.2,5.6e-01,1.0e+00,0.9522,2665,10,8,11,13,8,12
GENE-17705,NO,223,116.3,106.7,0.917,-0.1,5.6e-01,1.0e+00,0.9522,2666,126,100,123,126,84,110
GENE-9122,NO,55.7,29.3,26.3,0.898,-0.2,5.6e-01,1.0e+00,0.9522,2667,26,26,36,33,23,23
GENE-13914,NO,27.3,12.7,14.7,1.157,0.2,5.6e-01,1.0e+00,0.9522,2668,9,18,11,17,11,16
GENE-19564,NO,39,18.3,20.7,1.127,0.2,5.6e-01,1.0e+00,0.9522,2669,17,21,17,28,17,17
GENE-3231,NO,20.3,11,9.3,0.849,-0.2,5.6e-01,1.0e+00,0.9522,2670,11,11,11,7,15,6
GENE-7740,NO,131,68.7,62.3,0.907,-0.1,5.6e-01,1.0e+00,0.9522,2671,53,64,89,58,62,67
GENE-8569,NO,78.3,36.3,42,1.154,0.2,5.6e-01,1.0e+00,0.9522,2672,44,23,42,41,56,29
GENE-9723,NO,251.3,130.3,121,0.931,-0.1,5.6e-01,1.0e+00,0.9522,2673,123,151,117,134,110,119
GENE-18215,NO,846,404,442,1.095,0.1,5.6e-01,1.0e+00,0.9522,2674,399,357,456,574,365,387
GENE-19889,NO,20,11,9,0.82,-0.3,5.6e-01,1.0e+00,0.9522,2675,14,5,14,13,7,7
GENE-9499,NO,78.3,41,37.3,0.91,-0.1,5.6e-01,1.0e+00,0.9522,2676,42,34,47,40,42,30
GENE-19230,NO,53,28.7,24.3,0.849,-0.2,5.6e-01,1.0e+00,0.9522,2677,28,16,42,28,28,17
GENE-18677,NO,3200,1550.7,1649.3,1.064,0.1,5.6e-01,1.0e+00,0.9522,2678,1715,1459,1478,1754,1451,1743
GENE-2221,NO,26,12,14,1.165,0.2,5.6e-01,1.0e+00,0.9522,2679,17,12,7,16,15,11
GENE-7404,NO,5299,2747,2552,0.929,-0.1,5.6e-01,1.0e+00,0.9522,2679,2597,2422,3222,2537,2927,2192
GENE-10327,NO,537,276.7,260.3,0.941,-0.1,5.6e-01,1.0e+00,0.9522,2680,282,246,302,241,268,272
GENE-11466,NO,53,25,28,1.12,0.2,5.6e-01,1.0e+00,0.9522,2681,28,19,28,31,21,32
GENE-12868,NO,157.7,74.7,83,1.111,0.2,5.6e-01,1.0e+00,0.9522,2682,73,62,89,109,74,66
GENE-5239,NO,384.7,183.7,201,1.094,0.1,5.6e-01,1.0e+00,0.9522,2683,192,132,227,201,196,206
GENE-10069,NO,863.3,444,419.3,0.944,-0.1,5.6e-01,1.0e+00,0.9522,2684,449,475,408,417,392,449
GENE-2005,NO,24.3,11,13.3,1.208,0.3,5.6e-01,1.0e+00,0.9522,2685,5,10,18,11,16,13
GENE-27,NO,408.7,195.7,213,1.088,0.1,5.6e-01,1.0e+00,0.9522,2686,201,227,159,203,254,182
GENE-12018,NO,223.7,102.7,121,1.18,0.2,5.6e-01,1.0e+00,0.9522,2687,48,140,120,93,148,122
GENE-1092,NO,146.7,76.7,70,0.913,-0.1,5.6e-01,1.0e+00,0.9522,2688,59,89,82,63,66,81
GENE-14991,NO,133.7,63.7,70,1.099,0.1,5.6e-01,1.0e+00,0.9522,2689,74,70,47,64,81,65
GENE-406,NO,378.7,195.7,183,0.937,-0.1,5.6e-01,1.0e+00,0.9522,2690,171,226,190,189,179,181
GENE-10401,NO,2283.3,1190.7,1092.7,0.917,-0.1,5.6e-01,1.0e+00,0.9522,2691,1142,1509,921,979,1178,1121
GENE-16329,NO,942.3,452.3,490,1.083,0.1,5.6e-01,1.0e+00,0.9522,2692,396,528,433,404,489,577
GENE-17804,NO,71,38,33,0.868,-0.2,5.6e-01,1.0e+00,0.9522,2693,32,30,52,25,47,27
GENE-8651,NO,1562.3,753.7,808.7,1.073,0.1,5.6e-01,1.0e+00,0.9522,2694,824,740,697,730,728,968
GENE-2024,NO,89.7,46.7,43,0.922,-0.1,5.6e-01,1.0e+00,0.9522,2695,51,46,43,42,37,50
GENE-6185,NO,34,15.7,18.3,1.169,0.2,5.6e-01,1.0e+00,0.9522,2696,13,12,22,13,16,26
GENE-10797,NO,510.3,266,244.3,0.919,-0.1,5.6e-01,1.0e+00,0.9522,2697,284,264,250,231,310,192
GENE-14908,NO,177.3,85.7,91.7,1.074,0.1,5.6e-01,1.0e+00,0.9522,2698,93,83,81,78,101,96
GENE-2428,NO,168,79.7,88.3,1.112,0.2,5.7e-01,1.0e+00,0.9522,2699,64,85,90,62,106,97
GENE-14897,NO,200,90,110,1.224,0.3,5.7e-01,1.0e+00,0.9522,2699,35,126,109,136,126,68
GENE-17751,NO,1082.7,557.7,525,0.942,-0.1,5.7e-01,1.0e+00,0.9522,2701,520,621,532,482,542,551
GENE-4622,NO,1399,680.7,718.3,1.055,0.1,5.7e-01,1.0e+00,0.9529,2703,672,673,697,663,757,735
GENE-11837,NO,99.3,46,53.3,1.159,0.2,5.7e-01,1.0e+00,0.9529,2704,50,40,48,31,47,82
GENE-161,NO,165,77,88,1.146,0.2,5.7e-01,1.0e+00,0.9529,2705,70,63,98,120,91,53
GENE-19557,NO,92149,47317,44832,0.947,-0.1,5.7e-01,1.0e+00,0.9529,2706,50938,45628,45385,47369,39371,47756
GENE-4019,NO,100.7,52.7,48,0.912,-0.1,5.7e-01,1.0e+00,0.9529,2707,55,60,43,58,46,40
GENE-13882,NO,33.3,18,15.3,0.853,-0.2,5.7e-01,1.0e+00,0.9529,2708,15,15,24,15,9,22
GENE-13902,NO,254,113,141,1.245,0.3,5.7e-01,1.0e+00,0.9529,2709,214,44,81,163,117,143
GENE-5421,NO,34.7,18.3,16.3,0.892,-0.2,5.7e-01,1.0e+00,0.9529,2710,16,24,15,14,16,19
GENE-19756,NO,16,6.7,9.3,1.392,0.5,5.7e-01,1.0e+00,0.9529,2711,1,15,4,4,11,13
GENE-14533,NO,129.7,68,61.7,0.907,-0.1,5.7e-01,1.0e+00,0.9529,2712,61,83,60,78,54,53
GENE-9705,NO,1773.7,861.7,912,1.059,0.1,5.7e-01,1.0e+00,0.9529,2713,965,826,794,883,900,953
GENE-1361,NO,43.7,20.7,23,1.112,0.2,5.7e-01,1.0e+00,0.9529,2714,22,22,18,19,30,20
GENE-17837,NO,873.7,477.3,396.3,0.83,-0.3,5.7e-01,1.0e+00,0.9529,2715,434,707,291,388,596,205
GENE-14524,NO,23.3,12.3,11,0.893,-0.2,5.7e-01,1.0e+00,0.9529,2716,15,10,12,10,13,10
GENE-19781,NO,460.7,222.3,238.3,1.071,0.1,5.7e-01,1.0e+00,0.9529,2717,200,230,237,244,271,200
GENE-9931,NO,128.7,59.7,69,1.157,0.2,5.7e-01,1.0e+00,0.9529,2718,67,63,49,50,48,109
GENE-10922,NO,928.7,483.3,445.3,0.921,-0.1,5.7e-01,1.0e+00,0.9529,2719,381,599,470,426,496,414
GENE-3848,NO,722.7,372,350.7,0.943,-0.1,5.7e-01,1.0e+00,0.9529,2720,375,406,335,354,325,373
GENE-14231,NO,4151,1314,2837,2.159,1.1,5.7e-01,1.0e+00,0.9529,2721,74,14,3854,5864,2504,143
GENE-6505,NO,1597,776,821,1.059,0.1,5.7e-01,1.0e+00,0.9529,2722,781,779,768,858,720,885
GENE-1398,NO,5018.7,2618.7,2400,0.917,-0.1,5.7e-01,1.0e+00,0.9529,2723,2549,3205,2102,2360,1976,2864
GENE-10326,NO,212.7,111.7,101,0.905,-0.1,5.7e-01,1.0e+00,0.9529,2724,139,97,99,125,77,101
GENE-16265,NO,311.3,163,148.3,0.91,-0.1,5.7e-01,1.0e+00,0.9529,2724,192,134,163,115,144,186
GENE-8606,NO,114,67,47,0.703,-0.5,5.7e-01,1.0e+00,0.9529,2725,15,112,74,42,10,89
GENE-12987,NO,1585,754.7,830.3,1.101,0.1,5.7e-01,1.0e+00,0.9529,2726,529,935,800,789,956,746
GENE-2472,NO,19.7,9,10.7,1.182,0.2,5.7e-01,1.0e+00,0.9529,2727,11,11,5,8,15,9
GENE-10867,NO,20,9,11,1.218,0.3,5.7e-01,1.0e+00,0.9529,2728,8,11,8,15,14,4
GENE-11583,NO,256.3,135,121.3,0.901,-0.2,5.7e-01,1.0e+00,0.9529,2729,144,162,99,132,142,90
GENE-15868,NO,43,20.3,22.7,1.113,0.2,5.7e-01,1.0e+00,0.9529,2730,16,18,27,21,23,24
GENE-17904,NO,43.3,23.3,20,0.858,-0.2,5.7e-01,1.0e+00,0.9529,2731,26,27,17,11,21,28
GENE-10421,NO,741.7,390,351.7,0.901,-0.2,5.7e-01,1.0e+00,0.9529,2732,308,456,406,470,269,316
GENE-673,NO,36,19.7,16.3,0.832,-0.3,5.7e-01,1.0e+00,0.9529,2733,25,19,15,8,14,27
GENE-12902,NO,29.7,14,15.7,1.117,0.2,5.7e-01,1.0e+00,0.9529,2734,12,14,16,14,20,13
GENE-247,NO,194,93.7,100.3,1.075,0.1,5.7e-01,1.0e+00,0.9529,2735,105,96,80,114,94,93
GENE-10582,NO,1273.3,618,655.3,1.061,0.1,5.7e-01,1.0e+00,0.9529,2736,664,536,654,627,676,663
GENE-9500,NO,103.3,48.7,54.7,1.124,0.2,5.7e-01,1.0e+00,0.9529,2737,42,59,45,69,36,59
GENE-12420,NO,291.3,140.3,151,1.076,0.1,5.7e-01,1.0e+00,0.9529,2738,154,146,121,125,167,161
GENE-6549,NO,199.3,103.3,96,0.932,-0.1,5.7e-01,1.0e+00,0.9529,2739,105,112,93,82,108,98
GENE-13128,NO,25.3,13.7,11.7,0.854,-0.2,5.7e-01,1.0e+00,0.9529,2740,18,8,15,10,16,9
GENE-7134,NO,527.3,273.7,253.7,0.927,-0.1,5.7e-01,1.0e+00,0.9529,2741,297,219,305,230,240,291
GENE-5620,NO,469.3,228.7,240.7,1.052,0.1,5.7e-01,1.0e+00,0.9529,2742,231,225,230,244,232,246
GENE-10980,NO,99.7,52,47.7,0.917,-0.1,5.7e-01,1.0e+00,0.9529,2743,63,41,52,44,47,52
GENE-75,NO,1632,791,841,1.063,0.1,5.7e-01,1.0e+00,0.9529,2744,715,753,905,838,779,906
GENE-16131,NO,91.7,43.7,48,1.1,0.1,5.8e-01,1.0e+00,0.9529,2744,56,37,38,50,41,53
GENE-16274,NO,23.7,12.7,11,0.87,-0.2,5.8e-01,1.0e+00,0.9529,2745,16,13,9,15,9,9
GENE-1939,NO,4345,2363.7,1981.3,0.838,-0.3,5.8e-01,1.0e+00,0.9529,2746,1980,2600,2511,817,3086,2041
GENE-18490,NO,2615.3,1343,1272.3,0.947,-0.1,5.8e-01,1.0e+00,0.9529,2747,1310,1332,1387,1144,1383,1290
GENE-18767,NO,119.7,62.7,57,0.909,-0.1,5.8e-01,1.0e+00,0.9529,2748,50,59,79,67,50,54
GENE-88,NO,1038.7,496,542.7,1.094,0.1,5.8e-01,1.0e+00,0.9529,2749,346,571,571,493,582,553
GENE-17963,NO,92.3,48.3,44,0.911,-0.1,5.8e-01,1.0e+00,0.9529,2750,57,50,38,37,43,52
GENE-12573,NO,449,234.3,214.7,0.916,-0.1,5.8e-01,1.0e+00,0.9529,2751,206,297,200,218,249,177
GENE-1999,NO,2913.7,1512.7,1401,0.926,-0.1,5.8e-01,1.0e+00,0.9529,2752,1599,1766,1173,1545,1254,1404
GENE-2672,NO,45,23.7,21.3,0.902,-0.1,5.8e-01,1.0e+00,0.9529,2753,26,22,23,28,18,18
GENE-19431,NO,107.7,47.7,60,1.259,0.3,5.8e-01,1.0e+00,0.9529,2754,35,81,27,106,35,39
GENE-3099,NO,19.7,8.7,11,1.265,0.3,5.8e-01,1.0e+00,0.953,2755,4,10,12,4,12,17
GENE-11299,NO,487.7,225,262.7,1.167,0.2,5.8e-01,1.0e+00,0.953,2756,320,101,254,275,260,253
GENE-7389,NO,825.3,426,399.3,0.938,-0.1,5.8e-01,1.0e+00,0.953,2757,406,377,495,426,407,365
GENE-8401,NO,52.3,24,28.3,1.178,0.2,5.8e-01,1.0e+00,0.953,2758,22,16,34,16,39,30
GENE-13161,NO,2453.3,1187,1266.3,1.067,0.1,5.8e-01,1.0e+00,0.9532,2759,1188,1328,1045,1220,1445,1134
GENE-16974,NO,27,12.7,14.3,1.13,0.2,5.8e-01,1.0e+00,0.9538,2762,10,11,17,17,12,14
GENE-16384,NO,934.7,508.3,426.3,0.839,-0.3,5.8e-01,1.0e+00,0.9541,2764,585,253,687,239,539,501
GENE-8169,NO,90.3,48.7,41.7,0.857,-0.2,5.8e-01,1.0e+00,0.955,2768,45,48,53,50,19,56
GENE-4372,NO,120.3,63,57.3,0.91,-0.1,5.8e-01,1.0e+00,0.955,2768,53,73,63,72,55,45
GENE-5743,NO,7762,4024.3,3737.7,0.929,-0.1,5.8e-01,1.0e+00,0.9551,2770,4086,4173,3814,2904,3746,4563
GENE-12733,NO,131.3,67.7,63.7,0.941,-0.1,5.8e-01,1.0e+00,0.9551,2771,70,64,69,66,63,62
GENE-9385,NO,817.7,421,396.7,0.941,-0.1,5.8e-01,1.0e+00,0.9552,2772,388,434,441,351,391,448
GENE-83,NO,291.3,140.7,150.7,1.073,0.1,5.8e-01,1.0e+00,0.9557,2774,128,128,166,135,169,148
GENE-19697,NO,463.3,240,223.3,0.93,-0.1,5.8e-01,1.0e+00,0.9557,2775,198,270,252,205,260,205
GENE-6468,NO,574.3,276.3,298,1.079,0.1,5.8e-01,1.0e+00,0.9557,2776,346,231,252,323,279,292
GENE-7873,NO,3215.7,1701.3,1514.3,0.89,-0.2,5.8e-01,1.0e+00,0.9557,2777,2116,1955,1033,1247,1470,1826
GENE-6846,NO,312.7,148,164.7,1.109,0.1,5.8e-01,1.0e+00,0.9557,2778,186,115,143,123,209,162
